"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C7","CAPC2012N","39.975mm","10.35mm","39.975mm","10.35mm","39.975mm","11.2mm","T","270.00","Cap"
"C6","CAPC2012N","36.35mm","38.3mm","36.35mm","38.3mm","37.2mm","38.3mm","T","180.00","Cap"
"C5","CAPC2012N","40.35mm","38.3mm","40.35mm","38.3mm","41.2mm","38.3mm","T","180.00","Cap"
"C4","CAPC2012N","32.85mm","38.3mm","32.85mm","38.3mm","32mm","38.3mm","T","360.00","Cap"
"C3","CAPC2012N","29.35mm","34.7mm","29.35mm","34.7mm","30.2mm","34.7mm","T","180.00","Cap"
"C2","CAPC2012N","26.3mm","37.45mm","26.3mm","37.45mm","26.3mm","36.6mm","T","90.00","Cap"
"C1","CAPC2012N","26.3mm","33.95mm","26.3mm","33.95mm","26.3mm","33.1mm","T","90.00","Cap"
"U2","SOIC127P600-14N","34.85mm","32.65mm","34.85mm","32.65mm","32.45mm","36.46mm","T","0.00","MCP6L04"
"R8","RESC2012N","36.025mm","10.35mm","36.025mm","10.35mm","36.025mm","11.25mm","T","270.00","Res2"
"R7","RESC2012N","44.3mm","19.55mm","44.3mm","19.55mm","44.3mm","20.45mm","T","270.00","Res2"
"R6","RESC2012N","40.35mm","36.35mm","40.35mm","36.35mm","39.45mm","36.35mm","T","360.00","Res2"
"R5","RESC2012N","40.35mm","33.625mm","40.35mm","33.625mm","39.45mm","33.625mm","T","0.00","Res2"
"R4","RESC2012N","30.15mm","37.45mm","30.15mm","37.45mm","30.15mm","36.55mm","T","90.00","Res2"
"R3","RESC2012N","28.25mm","37.45mm","28.25mm","37.45mm","28.25mm","38.35mm","T","270.00","Res2"
"R2","RESC2012N","23.075mm","38.25mm","23.075mm","38.25mm","22.175mm","38.25mm","T","360.00","Res2"
"R1","RESC2012N","19.55mm","38.25mm","19.55mm","38.25mm","20.45mm","38.25mm","T","180.00","Res2"
"P3","USB_C_PD","3.31mm","35.15mm","5.3mm","35.15mm","1.32mm","29.575mm","T","270.00","USB C PD"
"P1","ARK2","5.1249mm","23.9249mm","5.1249mm","23.9249mm","5.1249mm","26.4249mm","T","270.00","Header 2"
"P2","ARK2","5.1249mm","13.925mm","5.1249mm","13.925mm","5.1249mm","16.4249mm","T","270.00","Header 2"
"C33","CAPC2012N","16.775mm","21.25mm","16.775mm","21.25mm","16.775mm","20.4mm","T","90.00","Cap"

